system,frequency,elevation_model,snr_model,linear_snr_model,combined_model,data_count
G,C1C,"(6.538192275547478, 3.8918233815058367)","(22.267121700285795, 60446.69126766953)","(-7.7937798276420285, 352.67026507456467)","(5.9467905079617145, 3.6495415117325125, 11418.005299371742)",15784
G,C5Q,"(39.61098440017076, -1.7318646043941177)","(21.57108612979494, 48071.5566384837)","(-3.3848887406936727, 159.923536295496)","(26.282487688688317, -1.383154387959532, 46938.15194230943)",5435
R,C1C,"(220.07788398054208, -0.05018648277169979)","(177.75886878448682, 27013.64031447732)","(-8.321430483555766, 490.42361737475744)","(184.84610664652058, -1.4099721996974703, 27735.92732012994)",8055
C,C2I,"(59.14215111646294, -1.6319110875349665)","(50.150258923415485, 4640.091536546544)","(-3.898606497317223, 196.67581782639715)","(57.723310293628074, -1.7834881406972038, 4945.175842739936)",19526
E,C1C,"(13.059685095923893, 0.31987947050954824)","(14.953268894135045, -5651.352149606282)","(0.5361989842643243, -6.586162978535346)","(14.877027627006397, 0.04833189049832756, -5647.257043355272)",8880
E,C5Q,"(38.79520403269134, -0.33448837509313334)","(35.427041905492324, 3179.0220393914483)","(-1.2669987439988344, 82.44435286240572)","(26.239736818930073, 5.775008110892728, 3485.557207364569)",8511
E,C7Q,"(14.50528577629779, 9.70574833000172)","(27.052158974841806, 6903.41661359048)","(-2.3724371307512255, 115.56236596150407)","(11.62241979400518, 10.219239668510376, 8214.436368455721)",3565
ALL,ALL,"(43.77564194157084, 3.4434378474361247)","(45.552683753619625, 24679.445554146318)","(-7.586570835320936, 340.3189269772169)","(34.17178789257414, 2.915733663589719, 22854.466377602854)",69756
